instance_id,sample_id,house_id,split,semantic_label,has_mirror_plane,has_refined_depth,has_coarse_mask,has_precise_mask
1,fece94182471459486c043185dff0a60_i1_3,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,fece94182471459486c043185dff0a60_i2_3,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,aea0f7739ecc4d859bcca9bd19f8023f_i2_0,82sE5b5pLXE,train,incomplete,1,0,0,1,1
2,aea0f7739ecc4d859bcca9bd19f8023f_i2_0,82sE5b5pLXE,train,incomplete,1,0,0,1,1
3,aea0f7739ecc4d859bcca9bd19f8023f_i2_0,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,e9ed6ef28a5d4524b567d23c47f07a74_i1_5,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,fece94182471459486c043185dff0a60_i1_2,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,7e0c327f89f0498da5dbd9e4bddc0e8a_i1_0,82sE5b5pLXE,train,incomplete,1,0,0,1,1
2,7e0c327f89f0498da5dbd9e4bddc0e8a_i1_0,82sE5b5pLXE,train,incomplete,1,0,0,1,1
3,7e0c327f89f0498da5dbd9e4bddc0e8a_i1_0,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,b59d4c930d7a4b7f8df2f9a7ac90b424_i2_3,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,7f4979d13ad748669d9e55206b9681eb_i1_1,82sE5b5pLXE,train,complete,1,0,0,1,1
2,7f4979d13ad748669d9e55206b9681eb_i1_1,82sE5b5pLXE,train,incomplete,1,0,0,1,1
3,7f4979d13ad748669d9e55206b9681eb_i1_1,82sE5b5pLXE,train,incomplete,1,0,0,1,1
4,7f4979d13ad748669d9e55206b9681eb_i1_1,82sE5b5pLXE,train,incomplete,1,0,0,1,1
5,7f4979d13ad748669d9e55206b9681eb_i1_1,82sE5b5pLXE,train,incomplete,1,0,0,1,1
6,7f4979d13ad748669d9e55206b9681eb_i1_1,82sE5b5pLXE,train,complete,1,0,0,1,1
1,aea0f7739ecc4d859bcca9bd19f8023f_i1_0,82sE5b5pLXE,train,incomplete,1,0,0,1,1
2,aea0f7739ecc4d859bcca9bd19f8023f_i1_0,82sE5b5pLXE,train,incomplete,1,0,0,1,1
3,aea0f7739ecc4d859bcca9bd19f8023f_i1_0,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,b59d4c930d7a4b7f8df2f9a7ac90b424_i1_2,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,a5cbf721bbca4eb2af0b1ab42c9ec1b7_i0_4,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,911c920d891a479abefa5adf90ac320f_i1_3,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,dfce0b29de62478583bbffdd7cbb419b_i2_4,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,aea0f7739ecc4d859bcca9bd19f8023f_i1_1,82sE5b5pLXE,train,almost-complete,0,0,0,1,1
2,aea0f7739ecc4d859bcca9bd19f8023f_i1_1,82sE5b5pLXE,train,incomplete,0,0,0,1,1
3,aea0f7739ecc4d859bcca9bd19f8023f_i1_1,82sE5b5pLXE,train,incomplete,0,0,0,1,1
4,aea0f7739ecc4d859bcca9bd19f8023f_i1_1,82sE5b5pLXE,train,incomplete,0,0,0,1,1
5,aea0f7739ecc4d859bcca9bd19f8023f_i1_1,82sE5b5pLXE,train,incomplete,0,0,0,1,1
6,aea0f7739ecc4d859bcca9bd19f8023f_i1_1,82sE5b5pLXE,train,complete,0,0,0,1,1
7,aea0f7739ecc4d859bcca9bd19f8023f_i1_1,82sE5b5pLXE,train,almost-complete,0,0,0,1,1
8,aea0f7739ecc4d859bcca9bd19f8023f_i1_1,82sE5b5pLXE,train,almost-complete,0,0,0,1,1
1,b59d4c930d7a4b7f8df2f9a7ac90b424_i0_3,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,f05fc5b3af194c4294ab2ce14bafaaac_i1_5,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,c1d33aa653f146dc8f13b6e713c7dc0e_i1_3,82sE5b5pLXE,train,incomplete,1,0,0,1,1
2,c1d33aa653f146dc8f13b6e713c7dc0e_i1_3,82sE5b5pLXE,train,complete,1,0,0,1,1
1,a5cbf721bbca4eb2af0b1ab42c9ec1b7_i1_4,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,764f4e2d11c24b8f9a16cb1b37dfc78d_i1_5,82sE5b5pLXE,train,incomplete,1,0,0,1,1
2,764f4e2d11c24b8f9a16cb1b37dfc78d_i1_5,82sE5b5pLXE,train,incomplete,1,0,0,1,1
3,764f4e2d11c24b8f9a16cb1b37dfc78d_i1_5,82sE5b5pLXE,train,incomplete,1,0,0,1,1
4,764f4e2d11c24b8f9a16cb1b37dfc78d_i1_5,82sE5b5pLXE,train,incomplete,1,0,0,1,1
5,764f4e2d11c24b8f9a16cb1b37dfc78d_i1_5,82sE5b5pLXE,train,incomplete,1,0,0,1,1
6,764f4e2d11c24b8f9a16cb1b37dfc78d_i1_5,82sE5b5pLXE,train,incomplete,1,0,0,1,1
7,764f4e2d11c24b8f9a16cb1b37dfc78d_i1_5,82sE5b5pLXE,train,incomplete,1,0,0,1,1
1,764f4e2d11c24b8f9a16cb1b37dfc78d_i2_5,82sE5b5pLXE,train,incomplete,0,0,0,1,1
2,764f4e2d11c24b8f9a16cb1b37dfc78d_i2_5,82sE5b5pLXE,train,incomplete,0,0,0,1,1
3,764f4e2d11c24b8f9a16cb1b37dfc78d_i2_5,82sE5b5pLXE,train,incomplete,0,0,0,1,1
4,764f4e2d11c24b8f9a16cb1b37dfc78d_i2_5,82sE5b5pLXE,train,incomplete,0,0,0,1,1
5,764f4e2d11c24b8f9a16cb1b37dfc78d_i2_5,82sE5b5pLXE,train,complete,0,0,0,1,1
6,764f4e2d11c24b8f9a16cb1b37dfc78d_i2_5,82sE5b5pLXE,train,incomplete,0,0,0,1,1
7,764f4e2d11c24b8f9a16cb1b37dfc78d_i2_5,82sE5b5pLXE,train,complete,0,0,0,1,1
8,764f4e2d11c24b8f9a16cb1b37dfc78d_i2_5,82sE5b5pLXE,train,incomplete,0,0,0,1,1
1,fed8aaa68c9b43a3b83770b4bd2324ed_i1_4,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,4ed46372db6849e28e1ed9ada35efeac_i0_1,1pXnuDYAj8r,train,incomplete,0,0,0,1,1
1,2f3e7d98347047829630f0114694a532_i1_2,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,dd735554f3c94e0bb22097e78d0209e8_i1_1,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,dbec0f4e228c44cda1f991905404541c_i1_1,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
2,dbec0f4e228c44cda1f991905404541c_i1_1,1pXnuDYAj8r,train,almost-complete,1,0,0,1,1
1,4ed46372db6849e28e1ed9ada35efeac_i1_1,1pXnuDYAj8r,train,incomplete,0,0,0,1,1
1,df9d294a3f8849f6ab267f658847f700_i1_1,1pXnuDYAj8r,train,complete,0,0,0,1,1
2,df9d294a3f8849f6ab267f658847f700_i1_1,1pXnuDYAj8r,train,incomplete,0,0,0,1,1
1,463e439a4e974a00b23bfe7c684a2607_i1_1,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,76ba074e4b7a46feb3d829302db3bd2e_i1_5,1pXnuDYAj8r,train,complete,1,0,0,1,1
2,76ba074e4b7a46feb3d829302db3bd2e_i1_5,1pXnuDYAj8r,train,complete,1,0,0,1,1
1,dbec0f4e228c44cda1f991905404541c_i0_1,1pXnuDYAj8r,train,complete,1,0,0,1,1
1,5b2558e404d84e7dbbcb649f9ac93c89_i1_3,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,dbce7eccf4a140338da926d313e07b5c_i1_0,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,df9d294a3f8849f6ab267f658847f700_i1_3,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,5b2558e404d84e7dbbcb649f9ac93c89_i1_2,1pXnuDYAj8r,train,incomplete,0,0,0,1,1
2,5b2558e404d84e7dbbcb649f9ac93c89_i1_2,1pXnuDYAj8r,train,complete,0,0,0,1,1
1,7c9717fb9297481bad3a5cc351f4fddf_i1_1,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,7e1850bf73f24a7f9ab824a82143e1b6_i1_5,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,f7ef3082a05c40659421f0a21731ae1b_i1_4,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,dbec0f4e228c44cda1f991905404541c_i0_0,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,834865d0e74042d38b796ded2488d64c_i0_3,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,4f07d9e99e084876b0765220888d2545_i1_5,1pXnuDYAj8r,train,complete,1,0,0,1,1
2,4f07d9e99e084876b0765220888d2545_i1_5,1pXnuDYAj8r,train,complete,1,0,0,1,1
1,20f6b7fcb5254024aacdd907da2eb315_i1_5,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,63c6a6491f9d4825a696fbe778a2d6f9_i0_0,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,834865d0e74042d38b796ded2488d64c_i1_3,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,2f3e7d98347047829630f0114694a532_i1_1,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,dd735554f3c94e0bb22097e78d0209e8_i0_1,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,5cd8a7aa73d841a4b540b19cf91de719_i1_4,1pXnuDYAj8r,train,incomplete,0,0,0,1,1
2,5cd8a7aa73d841a4b540b19cf91de719_i1_4,1pXnuDYAj8r,train,incomplete,0,0,0,1,1
1,7cdc2565c773401289b95360da22e017_i1_1,1pXnuDYAj8r,train,complete,1,0,0,1,1
2,7cdc2565c773401289b95360da22e017_i1_1,1pXnuDYAj8r,train,complete,1,0,0,1,1
1,31ae672c4fda4ce29add4798d07ce3b1_i1_1,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,cf7c2bd80f934238aede140bb9bd1284_i1_4,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,67dd134230034fc18ab8c30abd9af183_i1_4,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,fed8aaa68c9b43a3b83770b4bd2324ed_i1_3,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,148a81e548314c67b6f5f226601a27de_i1_0,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,0f42320ef887416fb8ed9b91b6641cfc_i1_2,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,a7fef2bee6444714acf0476fe84f9000_i1_1,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,f4d601b86e624ad2a8d77280f36c7872_i1_4,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
2,f4d601b86e624ad2a8d77280f36c7872_i1_4,1pXnuDYAj8r,train,complete,1,0,0,1,1
1,7efbe13d514b4797b540aecffe79aa03_i1_5,1pXnuDYAj8r,train,complete,1,0,0,1,1
2,7efbe13d514b4797b540aecffe79aa03_i1_5,1pXnuDYAj8r,train,complete,1,0,0,1,1
1,3ecb492d5019411785bab293ff4f74ee_i1_4,1pXnuDYAj8r,train,complete,1,0,0,1,1
2,3ecb492d5019411785bab293ff4f74ee_i1_4,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,63c6a6491f9d4825a696fbe778a2d6f9_i2_0,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,fcbd96fa9e054e8298ab129371fa5c00_i1_1,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,63c6a6491f9d4825a696fbe778a2d6f9_i1_0,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,63c6a6491f9d4825a696fbe778a2d6f9_i1_5,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,3ecb492d5019411785bab293ff4f74ee_i0_4,1pXnuDYAj8r,train,complete,1,0,0,1,1
1,a7fef2bee6444714acf0476fe84f9000_i1_2,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,4cf4c84ed4ae48b2b4076fb0e742d5f1_i1_2,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,fcbd96fa9e054e8298ab129371fa5c00_i0_1,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,12a0b0641a9a4794bb49bbcf13cea981_i1_5,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,df9d294a3f8849f6ab267f658847f700_i1_2,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,fed8aaa68c9b43a3b83770b4bd2324ed_i1_2,1pXnuDYAj8r,train,complete,0,0,0,1,1
2,fed8aaa68c9b43a3b83770b4bd2324ed_i1_2,1pXnuDYAj8r,train,incomplete,0,0,0,1,1
1,cf7c2bd80f934238aede140bb9bd1284_i1_0,1pXnuDYAj8r,train,incomplete,1,0,0,1,1
1,95a7711cf04e4681858182530de24d12_i1_5,s8pcmisQ38h,train,complete,1,0,0,1,1
1,d98247d9b9724eb9a730a1a5d9f1536a_i1_3,s8pcmisQ38h,train,incomplete,1,0,0,1,1
1,c18f83b284d041abba9a6afa23d2ebf8_i1_1,s8pcmisQ38h,train,incomplete,1,0,0,1,1
1,b9152c697f4c4a2fb4eef96ed220b484_i1_0,s8pcmisQ38h,train,incomplete,1,0,0,1,1
1,fddca3fc457d4514a832025de148d6cd_i1_2,s8pcmisQ38h,train,incomplete,1,0,0,1,1
1,fa9d2cdccb57422380697e7783d7248f_i2_1,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,51d76627bfb6408c96792ae892dde21f_i1_3,2n8kARJN3HM,train,complete,1,0,0,1,1
1,3f0be3965cde46ad87538ca4f3e1d271_i1_2,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,fa9d2cdccb57422380697e7783d7248f_i1_4,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,ffacc18a27644508a6e4223823a0e2a4_i1_2,2n8kARJN3HM,train,complete,1,0,0,1,1
1,dac4509f882848258838272f16d18302_i1_2,2n8kARJN3HM,train,incomplete,1,0,0,1,1
2,dac4509f882848258838272f16d18302_i1_2,2n8kARJN3HM,train,complete,1,0,0,1,1
3,dac4509f882848258838272f16d18302_i1_2,2n8kARJN3HM,train,complete,1,0,0,1,1
4,dac4509f882848258838272f16d18302_i1_2,2n8kARJN3HM,train,complete,1,0,0,1,1
1,4cc28f0811834f66a8b759b463fa7f9c_i1_2,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,99e8e537635a4523824294946d99093b_i1_4,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,d5f3da3f2bdc4b028c1fe1a2362c7588_i1_3,2n8kARJN3HM,train,complete,1,0,0,1,1
2,d5f3da3f2bdc4b028c1fe1a2362c7588_i1_3,2n8kARJN3HM,train,incomplete,1,0,0,1,1
3,d5f3da3f2bdc4b028c1fe1a2362c7588_i1_3,2n8kARJN3HM,train,incomplete,1,0,0,1,1
4,d5f3da3f2bdc4b028c1fe1a2362c7588_i1_3,2n8kARJN3HM,train,complete,1,0,0,1,1
5,d5f3da3f2bdc4b028c1fe1a2362c7588_i1_3,2n8kARJN3HM,train,complete,1,0,0,1,1
1,3d6c224493aa4b8fa5fd16e7ae8e2d66_i1_3,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,5eedd74c2a86462dafb8031559666b15_i1_1,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,cf2a6c0c56ed4b63b9be162272e3235f_i1_4,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,1f8182156ccd41f39c552ac05ab24877_i1_2,2n8kARJN3HM,train,incomplete,0,0,0,1,1
2,1f8182156ccd41f39c552ac05ab24877_i1_2,2n8kARJN3HM,train,incomplete,0,0,0,1,1
3,1f8182156ccd41f39c552ac05ab24877_i1_2,2n8kARJN3HM,train,complete,0,0,0,1,1
1,e8aa13c470d94855a3e01e461bd93c1d_i1_5,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,99e8e537635a4523824294946d99093b_i1_5,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,cf2a6c0c56ed4b63b9be162272e3235f_i1_5,2n8kARJN3HM,train,complete,1,0,0,1,1
1,c9d97062652b41a3bd1b7a8f06b3b465_i1_3,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,fa9d2cdccb57422380697e7783d7248f_i1_1,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,01d25fc368954800bc6eaf8c58145c14_i1_5,2n8kARJN3HM,train,complete,1,0,0,1,1
1,c6e8090bda95489fb0dc1c5b569461e7_i1_3,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,fa9d2cdccb57422380697e7783d7248f_i2_4,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,c897ee33e7bd4d36a122867a2800c9b4_i1_1,2n8kARJN3HM,train,complete,1,0,0,1,1
1,aadc2f85a2a742d7ba9a388dd6f4c9cf_i1_0,2n8kARJN3HM,train,incomplete,1,0,0,1,1
2,aadc2f85a2a742d7ba9a388dd6f4c9cf_i1_0,2n8kARJN3HM,train,complete,1,0,0,1,1
3,aadc2f85a2a742d7ba9a388dd6f4c9cf_i1_0,2n8kARJN3HM,train,complete,1,0,0,1,1
4,aadc2f85a2a742d7ba9a388dd6f4c9cf_i1_0,2n8kARJN3HM,train,complete,1,0,0,1,1
5,aadc2f85a2a742d7ba9a388dd6f4c9cf_i1_0,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,f458d42cbdb94ffabc06c580207d7a3d_i1_4,2n8kARJN3HM,train,complete,1,0,0,1,1
1,f30b071074d646d3aa06d1409faa7d5f_i1_1,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,5e4c532bab8844699a423518eec22d72_i1_0,2n8kARJN3HM,train,complete,0,0,0,1,1
2,5e4c532bab8844699a423518eec22d72_i1_0,2n8kARJN3HM,train,complete,0,0,0,1,1
3,5e4c532bab8844699a423518eec22d72_i1_0,2n8kARJN3HM,train,complete,0,0,0,1,1
4,5e4c532bab8844699a423518eec22d72_i1_0,2n8kARJN3HM,train,incomplete,0,0,0,1,1
5,5e4c532bab8844699a423518eec22d72_i1_0,2n8kARJN3HM,train,incomplete,0,0,0,1,1
1,5ef768195c0f4973b27ce733461a1752_i1_0,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,c9d97062652b41a3bd1b7a8f06b3b465_i2_3,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,ea42c4694c05490eb7ae29590321e1a3_i1_3,2n8kARJN3HM,train,complete,1,0,0,1,1
1,47e9ed95d9c740248ad1c6fa1352528e_i1_1,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,5daf3f2129314524a490400d1091d053_i1_2,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,e8aa13c470d94855a3e01e461bd93c1d_i1_0,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,a92ada1b9db2420ca7e1b55d372f8ffa_i1_0,2n8kARJN3HM,train,incomplete,1,0,0,1,1
2,a92ada1b9db2420ca7e1b55d372f8ffa_i1_0,2n8kARJN3HM,train,complete,1,0,0,1,1
3,a92ada1b9db2420ca7e1b55d372f8ffa_i1_0,2n8kARJN3HM,train,almost-complete,1,0,0,1,1
4,a92ada1b9db2420ca7e1b55d372f8ffa_i1_0,2n8kARJN3HM,train,complete,1,0,0,1,1
5,a92ada1b9db2420ca7e1b55d372f8ffa_i1_0,2n8kARJN3HM,train,incomplete,1,0,0,1,1
1,6d4f99f40eb84748a14f4b88945efd8a_i1_2,oLBMNvg9in8,val,complete,1,0,0,1,1
1,82995721c419465fb09ba983839cd046_i1_4,oLBMNvg9in8,val,almost-complete,1,0,0,1,1
1,6d4f99f40eb84748a14f4b88945efd8a_i0_0,oLBMNvg9in8,val,complete,1,0,0,1,1
2,6d4f99f40eb84748a14f4b88945efd8a_i0_0,oLBMNvg9in8,val,incomplete,1,0,0,1,1
3,6d4f99f40eb84748a14f4b88945efd8a_i0_0,oLBMNvg9in8,val,complete,1,0,0,1,1
4,6d4f99f40eb84748a14f4b88945efd8a_i0_0,oLBMNvg9in8,val,incomplete,1,0,0,1,1
5,6d4f99f40eb84748a14f4b88945efd8a_i0_0,oLBMNvg9in8,val,incomplete,1,0,0,1,1
1,89ac78f26ba04a77aff25d0fb3c5b433_i1_4,oLBMNvg9in8,val,incomplete,1,0,0,1,1
1,89ac78f26ba04a77aff25d0fb3c5b433_i1_1,oLBMNvg9in8,val,incomplete,1,0,0,1,1
2,89ac78f26ba04a77aff25d0fb3c5b433_i1_1,oLBMNvg9in8,val,complete,1,0,0,1,1
3,89ac78f26ba04a77aff25d0fb3c5b433_i1_1,oLBMNvg9in8,val,incomplete,1,0,0,1,1
4,89ac78f26ba04a77aff25d0fb3c5b433_i1_1,oLBMNvg9in8,val,complete,1,0,0,1,1
5,89ac78f26ba04a77aff25d0fb3c5b433_i1_1,oLBMNvg9in8,val,incomplete,1,0,0,1,1
6,89ac78f26ba04a77aff25d0fb3c5b433_i1_1,oLBMNvg9in8,val,complete,1,0,0,1,1
7,89ac78f26ba04a77aff25d0fb3c5b433_i1_1,oLBMNvg9in8,val,complete,1,0,0,1,1
8,89ac78f26ba04a77aff25d0fb3c5b433_i1_1,oLBMNvg9in8,val,complete,1,0,0,1,1
9,89ac78f26ba04a77aff25d0fb3c5b433_i1_1,oLBMNvg9in8,val,complete,1,0,0,1,1
10,89ac78f26ba04a77aff25d0fb3c5b433_i1_1,oLBMNvg9in8,val,complete,1,0,0,1,1
1,4d00ab4dfa424fd3ad89792e92a39cfd_i1_5,5ZKStnWn8Zo,test,incomplete,1,0,0,1,1
1,54b7c9b192714638ac7b01b4a5400d29_i1_3,5ZKStnWn8Zo,test,incomplete,1,0,0,1,1
2,54b7c9b192714638ac7b01b4a5400d29_i1_3,5ZKStnWn8Zo,test,incomplete,1,0,0,1,1
1,69bfd3c03c1348a7a1f8b47c89edecd3_i2_4,5ZKStnWn8Zo,test,incomplete,1,0,0,1,1
1,ce7589e64ee6481dab982bb3dc59e08e_i1_2,5ZKStnWn8Zo,test,incomplete,1,0,0,1,1
2,ce7589e64ee6481dab982bb3dc59e08e_i1_2,5ZKStnWn8Zo,test,incomplete,1,0,0,1,1
1,d559ecae7d17400e9ea61b24669499d3_i1_3,5ZKStnWn8Zo,test,incomplete,1,0,0,1,1
2,d559ecae7d17400e9ea61b24669499d3_i1_3,5ZKStnWn8Zo,test,incomplete,1,0,0,1,1
1,a79fd9b4b6a54f8b87cd52848d20bb6e_i1_5,5ZKStnWn8Zo,test,incomplete,1,0,0,1,1
1,6780cb21d2cb4d23b221bafb98327f46_i1_3,5ZKStnWn8Zo,test,incomplete,1,0,0,1,1
2,6780cb21d2cb4d23b221bafb98327f46_i1_3,5ZKStnWn8Zo,test,complete,1,0,0,1,1
1,9b029358672b4874a8c4834d41c55c0e_i1_3,5ZKStnWn8Zo,test,almost-complete,0,0,0,1,1
2,9b029358672b4874a8c4834d41c55c0e_i1_3,5ZKStnWn8Zo,test,incomplete,0,0,0,1,1
3,9b029358672b4874a8c4834d41c55c0e_i1_3,5ZKStnWn8Zo,test,complete,0,0,0,1,1
1,aa4b2b12e73747298a6a5223ac57b0e1_i1_1,5ZKStnWn8Zo,test,incomplete,1,0,0,1,1
2,aa4b2b12e73747298a6a5223ac57b0e1_i1_1,5ZKStnWn8Zo,test,complete,1,0,0,1,1
1,ca88482a5eef4deea9d4678231d747ac_i1_3,5ZKStnWn8Zo,test,incomplete,0,0,0,1,1
1,f96c19d52287480eb01e657154ef4cfa_i1_5,5ZKStnWn8Zo,test,incomplete,1,0,0,1,1
2,f96c19d52287480eb01e657154ef4cfa_i1_5,5ZKStnWn8Zo,test,complete,1,0,0,1,1
